SUB;Réel;Distance cos;Moyenne
thinking;thinking;0.45299251528455364;0.4602933947486644
characterized;characterized;0.3599594358829787;0.4602933947486644
vessels;vessels;0.45926610865913536;0.4602933947486644
munitions;munitions;0.5407280552324563;0.4602933947486644
antitrust;antitrust;0.5289094691723122;0.4602933947486644
fuller;fuller;0.302565459491875;0.4602933947486644
enriched;enriched;0.4114210998138644;0.4602933947486644
anxiously;anxiously;0.703507742219753;0.4602933947486644
cool;cool;0.3302564621142071;0.4602933947486644
duly;duly;0.4037211101962347;0.4602933947486644
grandparents;grandparents;0.4237174295578689;0.4602933947486644
fitted;fitted;0.3350465123284013;0.4602933947486644
attaining;attaining;0.42785266535310346;0.4602933947486644
traced;traced;0.2507031134384707;0.4602933947486644
improve;improve;0.5344220979013621;0.4602933947486644
immeasurable;immeasurable;0.6604684839433977;0.4602933947486644
rock;rock;0.4113953198586147;0.4602933947486644
singled;singled;0.47613976739578473;0.4602933947486644
progression;progression;0.2937904278107417;0.4602933947486644
tentative;tentative;0.4417295597860201;0.4602933947486644
admissions;admissions;0.37938408663012035;0.4602933947486644
fire;fire;0.5912523717057079;0.4602933947486644
marker;marker;0.33327550627783015;0.4602933947486644
contribute;contribute;0.46634476298126115;0.4602933947486644
suns;suns;0.47881358175377015;0.4602933947486644
canals;canals;0.6268445431626894;0.4602933947486644
conceived;conceived;0.43490338200831885;0.4602933947486644
payable;payable;0.5470214769728541;0.4602933947486644
checks;checks;0.46197718810364974;0.4602933947486644
evidence;evidence;0.5257998343531876;0.4602933947486644
spread;spread;0.5573771400019795;0.4602933947486644
manifested;manifested;0.3935150256794146;0.4602933947486644
pursuits;pursuits;0.490438318899417;0.4602933947486644
sheet;sheet;0.30149197437888137;0.4602933947486644
joint;joint;0.44900921829343593;0.4602933947486644
dominate;dominate;0.4834513646544756;0.4602933947486644
defamatory;defamatory;0.6666332792454953;0.4602933947486644
countryside;countryside;0.48422334911978926;0.4602933947486644
arbitrary;arbitrary;0.4392646938965973;0.4602933947486644
thousand;thousand;0.5686319122478524;0.4602933947486644
quicken;quicken;0.5032899232020815;0.4602933947486644
loyal;loyal;0.5101333452518338;0.4602933947486644
gigantic;gigantic;0.3511242730793918;0.4602933947486644
laughter;laughter;0.4393670653301098;0.4602933947486644
fide;fide;0.40604671740546977;0.4602933947486644
fanatical;fanatical;0.4794703662087997;0.4602933947486644
ambassadors;ambassadors;0.6237274590530018;0.4602933947486644
visible;visible;0.43309908569166994;0.4602933947486644
exhaustive;exhaustive;0.3800496694485959;0.4602933947486644
forbids;forbids;0.48989309334689457;0.4602933947486644
dense;dense;0.3489530199354518;0.4602933947486644
widening;widening;0.4371487728844978;0.4602933947486644
venture;venture;0.3751341636225435;0.4602933947486644
incurred;incurred;0.596231588479739;0.4602933947486644
noble;noble;0.4284226578756223;0.4602933947486644
conclusions;conclusions;0.4540862578728579;0.4602933947486644
addressing;addressing;0.32399873991063294;0.4602933947486644
cynicism;cynicism;0.20634334730084;0.4602933947486644
steer;steer;0.5241158179424051;0.4602933947486644
defining;defining;0.45077458368576423;0.4602933947486644
perpetuating;perpetuating;0.6564640563699057;0.4602933947486644
tribunals;tribunals;0.6040964333232329;0.4602933947486644
woman;woman;0.5492907331988333;0.4602933947486644
proceeded;proceeded;0.4565137744345818;0.4602933947486644
wishing;wishing;0.4458774038492573;0.4602933947486644
equipment;equipment;0.39552676602264764;0.4602933947486644
dissatisfied;dissatisfied;0.45179126001991443;0.4602933947486644
clarity;clarity;0.43787005072504553;0.4602933947486644
freeman;freeman;0.34214458891328475;0.4602933947486644
blue;blue;0.3210084134963049;0.4602933947486644
unspeakable;unspeakable;0.38027024958034544;0.4602933947486644
wrongs;wrongs;0.5344521339817008;0.4602933947486644
mentor;mentor;0.37440760526413713;0.4602933947486644
mall;mall;0.4582684389343921;0.4602933947486644
appalled;appalled;0.4831678092296594;0.4602933947486644
substitutes;substitutes;0.32454014464342174;0.4602933947486644
obtaining;obtaining;0.3986462462165298;0.4602933947486644
populated;populated;0.5115603545470592;0.4602933947486644
expand;expand;0.47449106374285804;0.4602933947486644
modified;modified;0.47926827938071914;0.4602933947486644
moon;moon;0.433886199808668;0.4602933947486644
unfair;unfair;0.579100065263122;0.4602933947486644
incompetence;incompetence;0.3570049752420751;0.4602933947486644
helpless;helpless;0.4536120698510189;0.4602933947486644
contributory;contributory;0.6622999715113999;0.4602933947486644
grudgingly;grudgingly;0.624532734304538;0.4602933947486644
core;core;0.4125725483387299;0.4602933947486644
awesome;awesome;0.42356681070665114;0.4602933947486644
formidable;formidable;0.5531449837834821;0.4602933947486644
susceptible;susceptible;0.38745695645474576;0.4602933947486644
collective;collective;0.46747044683703415;0.4602933947486644
developing;developing;0.5920390522256792;0.4602933947486644
neighborhood;neighborhood;0.45737850515561035;0.4602933947486644
glad;glad;0.5384188565086643;0.4602933947486644
applying;applying;0.4601681633840548;0.4602933947486644
prefer;prefer;0.42875154013378586;0.4602933947486644
societies;societies;0.5402570675825121;0.4602933947486644
aided;aided;0.3901510734703165;0.4602933947486644
occur;occur;0.48660956174956876;0.4602933947486644
vulnerable;vulnerable;0.5116062933448883;0.4602933947486644
