SUB;Réel;Distance cos;Moyenne
attachment;attachment;0.29007569475348505;0.3322612523308336
now;now;0.496209845575556;0.3322612523308336
wronged;wronged;0.28469737736400286;0.3322612523308336
Government;Government;0.35732454131121827;0.3322612523308336
asserted;asserted;0.20822952988049065;0.3322612523308336
discord;discord;0.37632717128363613;0.3322612523308336
halts;halts;0.08788856010849008;0.3322612523308336
dependencies;dependencies;0.254837529388517;0.3322612523308336
had;had;0.443555176289732;0.3322612523308336
charged;charged;0.1865684151828282;0.3322612523308336
acknowledge;acknowledge;0.33316215019058243;0.3322612523308336
pride;pride;0.46449828598987014;0.3322612523308336
highest;highest;0.3095944419866537;0.3322612523308336
Russia;Russia;0.07977781656397935;0.3322612523308336
Southern;Southern;0.1977363878785737;0.3322612523308336
expression;expression;0.34211306538084296;0.3322612523308336
see;see;0.43345844100771963;0.3322612523308336
productions;productions;0.1773638804198246;0.3322612523308336
better;better;0.5305701523864728;0.3322612523308336
venture;venture;0.21422185321542492;0.3322612523308336
8;8;0.26575087972833095;0.3322612523308336
human;human;0.4003870918809111;0.3322612523308336
through;through;0.3406367772753149;0.3322612523308336
amendments;amendments;0.33815797812753584;0.3322612523308336
victory;victory;0.28793985118474846;0.3322612523308336
live;live;0.37104703253051186;0.3322612523308336
ways;ways;0.4209017837598582;0.3322612523308336
opportunity;opportunity;0.3864365911170322;0.3322612523308336
effectually;effectually;0.2459536765983013;0.3322612523308336
reason;reason;0.4456246228224551;0.3322612523308336
miracles;miracles;0.28354637529965654;0.3322612523308336
duties;duties;0.33903901737213377;0.3322612523308336
reverently;reverently;0.2513742511032091;0.3322612523308336
rich;rich;0.39813818480952057;0.3322612523308336
either;either;0.5037097013145693;0.3322612523308336
powers;powers;0.34717828998367084;0.3322612523308336
they;they;0.6168263878209287;0.3322612523308336
choices;choices;0.3056050992246095;0.3322612523308336
language;language;0.35940002141762334;0.3322612523308336
attention;attention;0.27925348619197743;0.3322612523308336
hope;hope;0.5343148446930865;0.3322612523308336
tax;tax;0.4870601914803355;0.3322612523308336
door;door;0.282329549744117;0.3322612523308336
entitled;entitled;0.2909914811607828;0.3322612523308336
Mr;Mr;0.4167106762330918;0.3322612523308336
lot;lot;0.4964917205205757;0.3322612523308336
particularly;particularly;0.43537830480798934;0.3322612523308336
also;also;0.37391957198994047;0.3322612523308336
expedient;expedient;0.4759223904145827;0.3322612523308336
accepted;accepted;0.3534978282076065;0.3322612523308336
With;With;0.09799573224927904;0.3322612523308336
because;because;0.52107406026512;0.3322612523308336
eye;eye;0.2813432130796346;0.3322612523308336
inheriting;inheriting;0.2915521507480118;0.3322612523308336
adapted;adapted;0.178103733697489;0.3322612523308336
friendly;friendly;0.3020648923047155;0.3322612523308336
acceptance;acceptance;0.26475135898069063;0.3322612523308336
important;important;0.40036295691542473;0.3322612523308336
equally;equally;0.3677386673745669;0.3322612523308336
persons;persons;0.30815493848821485;0.3322612523308336
government;government;0.41098209344643744;0.3322612523308336
differ;differ;0.19699847469371545;0.3322612523308336
redemption;redemption;0.4875617963639484;0.3322612523308336
volume;volume;0.17412083768394587;0.3322612523308336
rendered;rendered;0.23535665519929627;0.3322612523308336
agencies;agencies;0.4161918080974048;0.3322612523308336
thus;thus;0.426762063166567;0.3322612523308336
chorus;chorus;0.4516461417710755;0.3322612523308336
handmaid;handmaid;0.21210449090523026;0.3322612523308336
casts;casts;0.18744164365503116;0.3322612523308336
descends;descends;0.07791484749068985;0.3322612523308336
losses;losses;0.20318370814134834;0.3322612523308336
whose;whose;0.23827510490951764;0.3322612523308336
claim;claim;0.2834115371204231;0.3322612523308336
condemn;condemn;0.21373097940252653;0.3322612523308336
helped;helped;0.35100733383045646;0.3322612523308336
fault;fault;0.38075038568250336;0.3322612523308336
determines;determines;0.08137522775384408;0.3322612523308336
progress;progress;0.3494822929523981;0.3322612523308336
That;That;0.34623780753610955;0.3322612523308336
rights;rights;0.414408830782534;0.3322612523308336
Neither;Neither;0.1909628656556679;0.3322612523308336
deemed;deemed;0.3220976315915471;0.3322612523308336
balance;balance;0.3852319076779001;0.3322612523308336
service;service;0.32776387841291915;0.3322612523308336
current;current;0.4084790745609155;0.3322612523308336
thick;thick;0.3037191294042188;0.3322612523308336
encouragement;encouragement;0.4503974398220596;0.3322612523308336
British;British;0.4748730891071062;0.3322612523308336
create;create;0.35221472751413146;0.3322612523308336
some;some;0.4795020387892552;0.3322612523308336
forth;forth;0.2888199422829373;0.3322612523308336
further;further;0.35980530150540463;0.3322612523308336
sign;sign;0.19493067414252183;0.3322612523308336
He;He;0.3734032527853383;0.3322612523308336
purpose;purpose;0.3242138812487656;0.3322612523308336
movements;movements;0.22537029716147963;0.3322612523308336
impartial;impartial;0.33587894178950334;0.3322612523308336
child;child;0.4855359067626278;0.3322612523308336
committed;committed;0.3891055132080018;0.3322612523308336
